Ref,Val,Package,PosX,PosY,Rot,Side
"U12","AP7330D","SOT-23-5",79.200000,-71.000000,90.000000,top
"U13","AP7330D","SOT-23-5",85.237500,-71.000000,90.000000,top
"U14","MX25R1635FZUIH0","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",74.782500,-65.792500,180.000000,top
"U15","ECMF02-2AMX6","ST_UQFN-6L_1.5x1.7mm_P0.5mm",69.837500,-60.250000,180.000000,top
"U16","LM4040A30IDBZ","SOT-23",76.000000,-52.900000,180.000000,top
"U17","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",81.787500,-61.800000,90.000000,top
"U18","FUSB303BTMX","OnSemi_X2QFN-12_1.6x1.6mm",93.200000,-92.550000,0.000000,top
"U19","SiP32508DT","TSOT-23-6",68.200000,-81.700000,0.000000,top
"U20","LM66200DRLR","SOT-5X3_DRL_TEX",67.200000,-67.750000,0.000000,top
"U21","SN74LVC1G06DBV","SOT-23-5",87.312500,-92.650000,-90.000000,top
"Y1","445I23D12M00000","Crystal_SMD_5032-2Pin_5.0x3.2mm",92.100000,-62.600000,-90.000000,top
