"Source:","/home/ak/Work/ccgm/gmm/ram-gmm7550.kicad/ram-gmm7550.kicad_sch"
"Date:","Tue Apr 11 13:08:18 2023"
"Tool:","Eeschema 7.0.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","10"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1, C2, C3","3","0.1uF","C_Small","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor, small symbol","",""
"J1","1","10144517-064802LF","10144517-061802LF","Amphenol:10144517-061802LF","Board to Board & Mezzanine Connectors Rec, R1, 60Pos","",""
"J2","1","Conn_01x08","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J3","1","Conn_01x04","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"R1, R2","2","10k","R","Resistor_SMD:R_0603_1608Metric","Resistor","",""
"U1","1","IS61C5128AL-10TLI","IS61C5128AL-10TLI","Package_SO:TSOP-II-44_10.16x18.41mm_P0.8mm","512K x 8 HIGH-SPEED CMOS STATIC RAM, 10ns, TSOP II-44","",""
"U2","1","W25Q128JVS","W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","128Mb Serial Flash Memory, Standard/Dual/Quad SPI, SOIC-8","",""
